Supplier,Board name,Model,Chip,Port
Adafruit,Feather RP2040,ADAFRUIT_FEATHER_RP2040,RP2040,rp2
Adafruit,Feather RP2350,ADAFRUIT_FEATHER_RP2350,RP2350,rp2
Adafruit,ItsyBitsy RP2040,ADAFRUIT_ITSYBITSY_RP2040,RP2040,rp2
Adafruit,QT Py RP2040,ADAFRUIT_QTPY_RP2040,RP2040,rp2
Arduino,Nano RP2040 Connect,ARDUINO_NANO_RP2040_CONNECT,RP2040,rp2
Cytron,MOTION 2350 Pro,CYTRON_MOTION_2350_PRO,RP2350,rp2
Cytron,NanoXRP Controller,CYTRON_NANOXRP_CONTROLLER,RP2040,rp2
Machdyne,Werkzeug,MACHDYNE_WERKZEUG,RP2040,rp2
McHobby,RP2040 PYBStick,GARATRONIC_PYBSTICK26_RP2040,RP2040,rp2
nullbits,Bit-C PRO,NULLBITS_BIT_C_PRO,RP2040,rp2
Pimoroni,Pico LiPo,PIMORONI_PICOLIPO,RP2040,rp2
Pimoroni,Tiny2040,PIMORONI_TINY2040,RP2040,rp2
Pololu,3pi+ 2040 Robot,POLOLU_3PI_2040_ROBOT,RP2040,rp2
Pololu,Zumo 2040 Robot,POLOLU_ZUMO_2040_ROBOT,RP2040,rp2
Raspberry Pi,Pico,RPI_PICO,RP2040,rp2
Raspberry Pi,Pico 2,RPI_PICO2,RP2350,rp2
Raspberry Pi,Pico 2 W,RPI_PICO2_W,RP2350,rp2
Raspberry Pi,Pico W,RPI_PICO_W,RP2040,rp2
Seeed Studio,XIAO RP2040,SEEED_XIAO_RP2040,RP2040,rp2
Seeed Studio,XIAO RP2350,SEEED_XIAO_RP2350,RP2350,rp2
Silicognition LLC,RP2040-Shim,SIL_RP2040_SHIM,RP2040,rp2
Soldered Electronics,NULA RP2350,SOLDERED_NULA_MAX_RP2350,RP2350,rp2
SparkFun,IoT Node LoRaWAN RP2350,SPARKFUN_IOTNODE_LORAWAN_RP2350,RP2350,rp2
SparkFun,Pro Micro - RP2040,SPARKFUN_PROMICRO,RP2040,rp2
SparkFun,Pro Micro RP2350,SPARKFUN_PROMICRO_RP2350,RP2350,rp2
SparkFun,SparkFun IoT RedBoard RP2350,SPARKFUN_IOTREDBOARD_RP2350,RP2350,rp2
SparkFun,Thing Plus - RP2040,SPARKFUN_THINGPLUS,RP2040,rp2
SparkFun,Thing Plus RP2350,SPARKFUN_THINGPLUS_RP2350,RP2350,rp2
SparkFun,XRP Controller,SPARKFUN_XRP_CONTROLLER,RP2350,rp2
SparkFun,XRP Controller (Beta),SPARKFUN_XRP_CONTROLLER_BETA,RP2040,rp2
Waveshare,RP2040-LCD-0.96,WAVESHARE_RP2040_LCD_0_96,RP2040,rp2
Waveshare,RP2040-Plus,WAVESHARE_RP2040_PLUS,RP2040,rp2
